gene	Ace_6	Ace_6	Ace_6	Ace_6	Ace_6	Ace_6
ENSRNOG00000000786	411	361.00031	453.9994	379.0003	395.99973	550.99953
ENSRNOG00000000787	7.67955	14.1082	9.31269	10.122	13.2496	13.8613
ENSRNOG00000000795	142.624	130.96	177	146.211	119.955	183.033
ENSRNOG00000000796	4273.003	3766.002	3870.003	3658.002	3313	6006
ENSRNOG00000000798	1313.00014	1216.0004	1378.99578	1242.00406	1173.99847	1501.99528
ENSRNOG00000000799	4098.0028	3512.0046	4153.002	4039.0014	3898.9982	4572.002
ENSRNOG00000000800	797.00082	808.99969	833.00035	870	762	961
ENSRNOG00000000801	166	205	228	184	219	239
ENSRNOG00000000802	149	118	119	128	114	130
ENSRNOG00000000804	712.24163	656.30856	736.79471	613.30274	715.93735	761.2233
ENSRNOG00000000805	8659.64	8464.8	7663.38	8206.3	7170.42	7976.79
ENSRNOG00000000808	1164	1110	1148	1222	1092	1567
ENSRNOG00000000809	602.000163	559.99938	608.00092	479.000131	505.000245	548.00081
ENSRNOG00000000811	3.0676	3.03718	1.00899	5.15038	4.07263	9.14428
ENSRNOG00000000812	685.52072	558.3028	668.60737	570.30264	535.29676	516.469
ENSRNOG00000000814	0	0	0	0	0	0
ENSRNOG00000000815	343	318	307	287	286	371
ENSRNOG00000000816	623.0002570681	568.9999	639.000300055936	570	536.99986	675.9995
ENSRNOG00000000818	245.99959	223.6862	252.0001	240.0005	218.6754	265.68596
ENSRNOG00000000823	516	393	466	387	409	657
ENSRNOG00000000824	269.0001	253.0001	299.0004	275.0005	244.0002	351
ENSRNOG00000000825	2	2	0	3	4	4
ENSRNOG00000000826	2568.99889	2040.00132	2528.99807	2250.99505	2213.99569	2631.99865
ENSRNOG00000000827	649.0005	578.0005	621.9997	590.0002	626.9999	750.00024
ENSRNOG00000000831	516.9995	492	562	497.9999	488.9997	608.9999
ENSRNOG00000000833	820	628.016	712	665.0004	649.0136	649
ENSRNOG00000000836	4.20013	4	5	6	7	6
ENSRNOG00000000837	0.0487398	0.0289481	0.0224429	0.013645	0.0450546	0.0446093
ENSRNOG00000000838	0	0	0	0	0	0
ENSRNOG00000000839	244.18504	202.20354	291.07789	261.12953	255.04073	295.00004
ENSRNOG00000000840	498.8153	455.79658	457.9219	431.8701	429.959	521.0004
ENSRNOG00000000841	5946.485	5350.69641	5712.81099	5582.66287	5341.956	6255.191
ENSRNOG00000000842	1036.9994	958.9999	1009.0001	988.9996	851.9997	1110.9998
ENSRNOG00000000843	1	2	1	1	4	1
ENSRNOG00000000844	1	0	0	1	0	0
ENSRNOG00000000846	0	0	0	0	0	0
ENSRNOG00000000847	2278.00117	1988.99769	2409.91758	2290.99784	2035.84308	2709.00324
ENSRNOG00000000848	375	324.9999	381.0003	322	335.9998	414
ENSRNOG00000000850	20.99999	17.00003	29.00003	26	20	39
ENSRNOG00000000851	5686.75	5319	5687.704	5267.849	5335.773	5492.73
ENSRNOG00000000852	12703.98953	9578.99542	11725.03474	7780.00111	8751.00683	6803.9921
ENSRNOG00000000853	23	21.99997	19	39.00003	26	41
ENSRNOG00000000854	25	19	12	20	9	27
ENSRNOG00000000855	0	5	10	0	3	7
ENSRNOG00000000857	25	35	36	48.99998	32.00004	39.99997
ENSRNOG00000000858	79	70	91.00002	75.00002	66	83.00004
ENSRNOG00000000860	336	261	303	272	271	291
ENSRNOG00000000861	14.1165	10.228	6.11986	9.14608	6.14361	9.19332
ENSRNOG00000000866	621	573	639	640	527	731
ENSRNOG00000000867	2429.0030967138	2225.99800003274	2687.999896838	2439.996366217	2368.99876615	2839.9986259835
ENSRNOG00000000869	361	298	315	356	290	408
ENSRNOG00000000871	15.0055	16.0058	11.0058	6.00464	9.01133	12.0053
ENSRNOG00000000873	0	0	0	0	0	0
ENSRNOG00000000875	7656.003	5550.0006	7024.9979	7035.0007	6797.9965	8758.0025
ENSRNOG00000000878	1	1	1	4	1	2
ENSRNOG00000000879	772.134	699.127	713.809	770.15	694.062	885.043
ENSRNOG00000000881	819.342	805.937	743.487	881.134	767.597	1121.62
ENSRNOG00000000885	512	405	418	296	323	294
ENSRNOG00000000886	0	1	0	0	0	0
ENSRNOG00000000887	0	0	0	0	0	0
ENSRNOG00000000888	1051	834	1003	925	954	1192
ENSRNOG00000000889	1	1.00291015	5.46055	4.00351	5.99462	3.19275
ENSRNOG00000000891	384.448	335.97	343.235	339.727	295.851	432.011
ENSRNOG00000000893	1028	892	1133	961	919	1103
ENSRNOG00000000894	2887.997	2364.004	2434.998	2346.9978	2261.997	2473.0028
ENSRNOG00000000895	441	442	453	454	382	499
ENSRNOG00000000896	0	0	1.00005	0	0	0
ENSRNOG00000000897	0	4	2	3	1	3
ENSRNOG00000000900	255	224	255	243	217.9999	297.0004
ENSRNOG00000000901	345	284.0001	334.9999	286.9996	293.9999	383
ENSRNOG00000000902	1289	1180	1294	1355	1194	1581
ENSRNOG00000000903	512	503	550	511	489	645
ENSRNOG00000000904	0	1	1	0	0	0
ENSRNOG00000000905	16	14	16	13	7	23
ENSRNOG00000000906	120	121	106	116	86	166
ENSRNOG00000000907	12	10	16	25	20	11
ENSRNOG00000000909	462.9999	389.9998	463.0003	504.0003	391.0003	560.0004
ENSRNOG00000000913	480.01265	413.0005	443	475.00046	410.9999	504.9998
ENSRNOG00000000916	41.0265	0	13.0123	25.8677	27.9725	41.4469
ENSRNOG00000000917	185	148	179	222	176	209
ENSRNOG00000000918	977.985	874.733	1117.84	1013.12	940.697	1159.32
ENSRNOG00000000920	28	32	25	39	27	39
ENSRNOG00000000921	1950	1710	1788	1758	1654	1903
ENSRNOG00000000922	446.9999	372.0003	433.0006	397.0006	381.9997	507.0008
ENSRNOG00000000923	3476.99692	3216.00021	3569.00246	3702.00438	3522.9966	4779.99919
